OID,protein_name,panel,primary_literature_aligned_pathway_draft,secondary_literature_aligned_pathways_draft,all_literature_aligned_pathways_draft,current_rule_pathways,assignment_basis_summary,why_primary_pathway_draft,review_status,notes_for_reviewer,review_flag
OID01064,EDIL3,Olink ORGAN DAMAGE(v.3311),Endothelial / BBB / neurovascular unit,,Endothelial / BBB / neurovascular unit,Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",EDIL3 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01254,ENG,Olink CARDIOMETABOLIC(v.3602),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",ENG is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01434,ESAM,Olink DEVELOPMENT(v.3511),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",ESAM is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00729,ESM-1,Olink ONCOLOGY II(v.7004),Endothelial / BBB / neurovascular unit,,Endothelial / BBB / neurovascular unit,Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",ESM-1 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID05488,FLT1,Olink ONCOLOGY III(v.4001),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling; mTOR / MAPK / NF-kB / growth-survival signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling; mTOR / MAPK / NF-kB / growth-survival signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit; MAPK_PI3K_NFkB_cell_growth_survival,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",FLT1 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit; MAPK_PI3K_NFkB_cell_growth_survival.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID05457,FLT3,Olink ONCOLOGY III(v.4001),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling; mTOR / MAPK / NF-kB / growth-survival signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling; mTOR / MAPK / NF-kB / growth-survival signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit; MAPK_PI3K_NFkB_cell_growth_survival,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",FLT3 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit; MAPK_PI3K_NFkB_cell_growth_survival.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00533,Flt3L,Olink INFLAMMATION(v.3021),Endothelial / BBB / neurovascular unit,Peripheral immune / inflammatory activation; Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Peripheral immune / inflammatory activation; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Cytokine_chemokine_TNF_interferon_signaling; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",Flt3L is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Cytokine_chemokine_TNF_interferon_signaling; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00646,ICAM-2,Olink CARDIOVASCULAR III(v.6113),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",ICAM-2 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01230,ICAM1,Olink CARDIOMETABOLIC(v.3602),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",ICAM1 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01267,ICAM3,Olink CARDIOMETABOLIC(v.3602),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",ICAM3 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00625,JAM-A,Olink CARDIOVASCULAR III(v.6113),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",JAM-A is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00359,JAM-B,Olink NEUROLOGY(v.8012),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",JAM-B is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01307,LYVE1,Olink CARDIOMETABOLIC(v.3602),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",LYVE1 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01053,NOS3,Olink ORGAN DAMAGE(v.3311),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",NOS3 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00652,PECAM-1,Olink CARDIOVASCULAR III(v.6113),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",PECAM-1 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00596,SELE,Olink CARDIOVASCULAR III(v.6113),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",SELE is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01270,TIE1,Olink CARDIOMETABOLIC(v.3602),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",TIE1 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00398,TIE2,Olink CARDIOVASCULAR II(v.5006),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",TIE2 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01073,VASH1,Olink ORGAN DAMAGE(v.3311),Endothelial / BBB / neurovascular unit,,Endothelial / BBB / neurovascular unit,Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",VASH1 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01257,VCAM1,Olink CARDIOMETABOLIC(v.3602),Endothelial / BBB / neurovascular unit,Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Endothelial / BBB / neurovascular unit; Integrin / ECM / cell adhesion / vascular remodeling; Peripheral immune / inflammatory activation,Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",VCAM1 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Cell_adhesion_cadherin_integrin_contact; Endothelial_activation_BBB_neurovascular_unit; Leukocyte_trafficking_adhesion.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00472,VEGFA,Olink INFLAMMATION(v.3021),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",VEGFA is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00656,VEGFA,Olink ONCOLOGY II(v.7004),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",VEGFA is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00468,VEGFD,Olink CARDIOVASCULAR II(v.5006),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",VEGFD is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01319,VEGFD,Olink CELL REGULATION(v.3702),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",VEGFD is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00677,VEGFR-2,Olink ONCOLOGY II(v.7004),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",VEGFR-2 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00740,VEGFR-3,Olink ONCOLOGY II(v.7004),Endothelial / BBB / neurovascular unit,Synaptic / neuronal plasticity / neurotrophic signaling,Endothelial / BBB / neurovascular unit; Synaptic / neuronal plasticity / neurotrophic signaling,Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit,"endothelial, vascular-wall, angiogenesis, BBB, or neurovascular-unit marker",VEGFR-3 is provisionally assigned to 'Endothelial / BBB / neurovascular unit' because stroke and post-stroke cognitive-impairment literature supports endothelial/BBB/neurovascular dysfunction as a mechanistic domain. Current rule pathways: Angiogenesis_vascular_repair_growth_factor; Endothelial_activation_BBB_neurovascular_unit.,needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID00381,ADM,Olink CARDIOVASCULAR II(v.5006),Hormone / neuroendocrine / HPA-like systemic signaling,,Hormone / neuroendocrine / HPA-like systemic signaling,Hormone_neuroendocrine_signaling,"hormonal, neuroendocrine, or systemic stress-signaling marker","ADM is provisionally assigned to 'Hormone / neuroendocrine / HPA-like systemic signaling' because stress/neuroendocrine pathways are relevant in depression biology, but assignment in plasma proteomics needs expert review. Current rule pathways: Hormone_neuroendocrine_signaling.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID00448,AGRP,Olink CARDIOVASCULAR II(v.5006),Hormone / neuroendocrine / HPA-like systemic signaling,,Hormone / neuroendocrine / HPA-like systemic signaling,Hormone_neuroendocrine_signaling,"hormonal, neuroendocrine, or systemic stress-signaling marker","AGRP is provisionally assigned to 'Hormone / neuroendocrine / HPA-like systemic signaling' because stress/neuroendocrine pathways are relevant in depression biology, but assignment in plasma proteomics needs expert review. Current rule pathways: Hormone_neuroendocrine_signaling.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01095,CALCA,Olink ORGAN DAMAGE(v.3311),Hormone / neuroendocrine / HPA-like systemic signaling,Systemic organ injury / leakage / comorbidity markers,Hormone / neuroendocrine / HPA-like systemic signaling; Systemic organ injury / leakage / comorbidity markers,Hormone_neuroendocrine_signaling; Organ_damage_systemic_stress_response,"hormonal, neuroendocrine, or systemic stress-signaling marker","CALCA is provisionally assigned to 'Hormone / neuroendocrine / HPA-like systemic signaling' because stress/neuroendocrine pathways are relevant in depression biology, but assignment in plasma proteomics needs expert review. Current rule pathways: Hormone_neuroendocrine_signaling; Organ_damage_systemic_stress_response.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01450,CGA,Olink DEVELOPMENT(v.3511),Hormone / neuroendocrine / HPA-like systemic signaling,,Hormone / neuroendocrine / HPA-like systemic signaling,Hormone_neuroendocrine_signaling,"hormonal, neuroendocrine, or systemic stress-signaling marker","CGA is provisionally assigned to 'Hormone / neuroendocrine / HPA-like systemic signaling' because stress/neuroendocrine pathways are relevant in depression biology, but assignment in plasma proteomics needs expert review. Current rule pathways: Hormone_neuroendocrine_signaling.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID05404,CGB3,Olink ONCOLOGY III(v.4001),Hormone / neuroendocrine / HPA-like systemic signaling,,Hormone / neuroendocrine / HPA-like systemic signaling,Hormone_neuroendocrine_signaling,"hormonal, neuroendocrine, or systemic stress-signaling marker","CGB3 is provisionally assigned to 'Hormone / neuroendocrine / HPA-like systemic signaling' because stress/neuroendocrine pathways are relevant in depression biology, but assignment in plasma proteomics needs expert review. Current rule pathways: Hormone_neuroendocrine_signaling.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01096,CRH,Olink ORGAN DAMAGE(v.3311),Hormone / neuroendocrine / HPA-like systemic signaling,Systemic organ injury / leakage / comorbidity markers,Hormone / neuroendocrine / HPA-like systemic signaling; Systemic organ injury / leakage / comorbidity markers,Hormone_neuroendocrine_signaling; Organ_damage_systemic_stress_response,"hormonal, neuroendocrine, or systemic stress-signaling marker","CRH is provisionally assigned to 'Hormone / neuroendocrine / HPA-like systemic signaling' because stress/neuroendocrine pathways are relevant in depression biology, but assignment in plasma proteomics needs expert review. Current rule pathways: Hormone_neuroendocrine_signaling; Organ_damage_systemic_stress_response.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
OID01468,CRHBP,Olink DEVELOPMENT(v.3511),Hormone / neuroendocrine / HPA-like systemic signaling,,Hormone / neuroendocrine / HPA-like systemic signaling,Hormone_neuroendocrine_signaling,"hormonal, neuroendocrine, or systemic stress-signaling marker","CRHBP is provisionally assigned to 'Hormone / neuroendocrine / HPA-like systemic signaling' because stress/neuroendocrine pathways are relevant in depression biology, but assignment in plasma proteomics needs expert review. Current rule pathways: Hormone_neuroendocrine_signaling.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",single-pathway
OID01043,EPO,Olink ORGAN DAMAGE(v.3311),Hormone / neuroendocrine / HPA-like systemic signaling,Systemic organ injury / leakage / comorbidity markers,Hormone / neuroendocrine / HPA-like systemic signaling; Systemic organ injury / leakage / comorbidity markers,Hormone_neuroendocrine_signaling; Organ_damage_systemic_stress_response,"hormonal, neuroendocrine, or systemic stress-signaling marker","EPO is provisionally assigned to 'Hormone / neuroendocrine / HPA-like systemic signaling' because stress/neuroendocrine pathways are relevant in depression biology, but assignment in plasma proteomics needs expert review. Current rule pathways: Hormone_neuroendocrine_signaling; Organ_damage_systemic_stress_response.",needs biologist review,"Draft. Please confirm, split, merge, or remove. Multiple pathway membership is allowed; primary pathway is only for simplified scoring/classification.",multi-pathway
